date,day_of_week,sales_amount (usd)
25-08-2020,Tuesday,1676
26-08-2020,Wednesday,640
27-08-2020,Thursday,726
28-08-2020,Friday,930
29-08-2020,Saturday,1574
30-08-2020,Sunday,1078
31-08-2020,Monday,1112
01-09-2020,Tuesday,862
02-09-2020,Wednesday,929
03-09-2020,Thursday,845
04-09-2020,Friday,899
05-09-2020,Saturday,1400
06-09-2020,Sunday,380
07-09-2020,Monday,1125
08-09-2020,Tuesday,790
09-09-2020,Wednesday,1280
10-09-2020,Thursday,887
11-09-2020,Friday,1215
12-09-2020,Saturday,1204
13-09-2020,Sunday,1250
14-09-2020,Monday,318
15-09-2020,Tuesday,949
16-09-2020,Wednesday,1487
17-09-2020,Thursday,1370
18-09-2020,Friday,1108
19-09-2020,Saturday,1752
20-09-2020,Sunday,1024
21-09-2020,Monday,1165
22-09-2020,Tuesday,665
23-09-2020,Wednesday,856
24-09-2020,Thursday,743
25-09-2020,Friday,597
26-09-2020,Saturday,1331
27-09-2020,Sunday,1158
28-09-2020,Monday,778
29-09-2020,Tuesday,954
30-09-2020,Wednesday,563
01-10-2020,Thursday,537
02-10-2020,Friday,821
03-10-2020,Saturday,1349
04-10-2020,Sunday,1433
05-10-2020,Monday,892
06-10-2020,Tuesday,1513
07-10-2020,Wednesday,897
08-10-2020,Thursday,1274
09-10-2020,Friday,1164
10-10-2020,Saturday,1125
11-10-2020,Sunday,1407
12-10-2020,Monday,1322
13-10-2020,Tuesday,1609
14-10-2020,Wednesday,1273
15-10-2020,Thursday,1427
16-10-2020,Friday,1059
17-10-2020,Saturday,1516
18-10-2020,Sunday,1328
19-10-2020,Monday,1182
20-10-2020,Tuesday,1282
21-10-2020,Wednesday,960
22-10-2020,Thursday,1197
23-10-2020,Friday,1274
24-10-2020,Saturday,1371
25-10-2020,Sunday,1203
26-10-2020,Monday,925
27-10-2020,Tuesday,1263
28-10-2020,Wednesday,1058
29-10-2020,Thursday,942
30-10-2020,Friday,742
31-10-2020,Saturday,736
01-11-2020,Sunday,1144
02-11-2020,Monday,1580
03-11-2020,Tuesday,1327
04-11-2020,Wednesday,1219
05-11-2020,Thursday,1082
06-11-2020,Friday,680
07-11-2020,Saturday,1689
08-11-2020,Sunday,1266
09-11-2020,Monday,322
10-11-2020,Tuesday,1339
11-11-2020,Wednesday,857
12-11-2020,Thursday,1148
13-11-2020,Friday,550
14-11-2020,Saturday,831
15-11-2020,Sunday,709
16-11-2020,Monday,843
17-11-2020,Tuesday,1088
18-11-2020,Wednesday,1230
19-11-2020,Thursday,1437
20-11-2020,Friday,1336
21-11-2020,Saturday,1048
22-11-2020,Sunday,1338
23-11-2020,Monday,1018
24-11-2020,Tuesday,853
25-11-2020,Wednesday,1192
26-11-2020,Thursday,1229
27-11-2020,Friday,1021
28-11-2020,Saturday,762
29-11-2020,Sunday,1376
30-11-2020,Monday,1441
01-12-2020,Tuesday,1130
02-12-2020,Wednesday,875
03-12-2020,Thursday,1602
04-12-2020,Friday,811
05-12-2020,Saturday,1709
06-12-2020,Sunday,855
07-12-2020,Monday,535
08-12-2020,Tuesday,1375
09-12-2020,Wednesday,1617
10-12-2020,Thursday,1180
11-12-2020,Friday,1098
12-12-2020,Saturday,1856
13-12-2020,Sunday,1312
14-12-2020,Monday,273
15-12-2020,Tuesday,915
16-12-2020,Wednesday,1210
17-12-2020,Thursday,1091
18-12-2020,Friday,1201
19-12-2020,Saturday,1631
20-12-2020,Sunday,1403
21-12-2020,Monday,772
22-12-2020,Tuesday,1405
23-12-2020,Wednesday,1293
24-12-2020,Thursday,1182
25-12-2020,Friday,1084
26-12-2020,Saturday,1073
27-12-2020,Sunday,607
28-12-2020,Monday,1086
29-12-2020,Tuesday,405
30-12-2020,Wednesday,421
31-12-2020,Thursday,924
01-01-2021,Friday,1146
02-01-2021,Saturday,833
03-01-2021,Sunday,755
04-01-2021,Monday,1156
05-01-2021,Tuesday,1073
06-01-2021,Wednesday,1021
07-01-2021,Thursday,965
08-01-2021,Friday,1158
09-01-2021,Saturday,1410
10-01-2021,Sunday,1521
11-01-2021,Monday,1308
12-01-2021,Tuesday,359
13-01-2021,Wednesday,1513
14-01-2021,Thursday,1725
15-01-2021,Friday,841
16-01-2021,Saturday,1111
17-01-2021,Sunday,1581
18-01-2021,Monday,591
19-01-2021,Tuesday,1152
20-01-2021,Wednesday,1363
21-01-2021,Thursday,691
22-01-2021,Friday,1030
23-01-2021,Saturday,1676
24-01-2021,Sunday,1477
25-01-2021,Monday,845
26-01-2021,Tuesday,894
27-01-2021,Wednesday,710
28-01-2021,Thursday,1135
29-01-2021,Friday,1402
30-01-2021,Saturday,481
31-01-2021,Sunday,1290
01-02-2021,Monday,1191
02-02-2021,Tuesday,314
03-02-2021,Wednesday,1062
04-02-2021,Thursday,996
05-02-2021,Friday,1315
06-02-2021,Saturday,1728
07-02-2021,Sunday,1400
08-02-2021,Monday,920
09-02-2021,Tuesday,693
10-02-2021,Wednesday,258
11-02-2021,Thursday,1074
12-02-2021,Friday,719
13-02-2021,Saturday,1162
14-02-2021,Sunday,753
15-02-2021,Monday,518
16-02-2021,Tuesday,1084
17-02-2021,Wednesday,1172
18-02-2021,Thursday,990
19-02-2021,Friday,1242
20-02-2021,Saturday,1741
21-02-2021,Sunday,447
22-02-2021,Monday,1246
23-02-2021,Tuesday,1103
24-02-2021,Wednesday,1647
25-02-2021,Thursday,916
26-02-2021,Friday,1225
27-02-2021,Saturday,1477
28-02-2021,Sunday,1038
01-03-2021,Monday,835
02-03-2021,Tuesday,1034
03-03-2021,Wednesday,1261
04-03-2021,Thursday,1745
05-03-2021,Friday,377
06-03-2021,Saturday,797
07-03-2021,Sunday,938
08-03-2021,Monday,1096
09-03-2021,Tuesday,1071
10-03-2021,Wednesday,948
11-03-2021,Thursday,1186
12-03-2021,Friday,817
13-03-2021,Saturday,831
14-03-2021,Sunday,1355
15-03-2021,Monday,1325
16-03-2021,Tuesday,979
17-03-2021,Wednesday,1108
18-03-2021,Thursday,1099
19-03-2021,Friday,1079
20-03-2021,Saturday,1357
21-03-2021,Sunday,1248
22-03-2021,Monday,802
23-03-2021,Tuesday,1288
24-03-2021,Wednesday,356
25-03-2021,Thursday,1192
26-03-2021,Friday,811
27-03-2021,Saturday,1418
28-03-2021,Sunday,278
29-03-2021,Monday,890
30-03-2021,Tuesday,309
31-03-2021,Wednesday,1057
01-04-2021,Thursday,1291
02-04-2021,Friday,952
03-04-2021,Saturday,1694
04-04-2021,Sunday,1287
05-04-2021,Monday,946
06-04-2021,Tuesday,1289
07-04-2021,Wednesday,839
08-04-2021,Thursday,1016
09-04-2021,Friday,1428
10-04-2021,Saturday,1221
11-04-2021,Sunday,1168
12-04-2021,Monday,879
13-04-2021,Tuesday,1015
14-04-2021,Wednesday,1303
15-04-2021,Thursday,868
16-04-2021,Friday,759
17-04-2021,Saturday,1241
18-04-2021,Sunday,1358
19-04-2021,Monday,942
20-04-2021,Tuesday,1613
21-04-2021,Wednesday,963
22-04-2021,Thursday,1434
23-04-2021,Friday,605
24-04-2021,Saturday,1312
25-04-2021,Sunday,1876
26-04-2021,Monday,901
27-04-2021,Tuesday,858
28-04-2021,Wednesday,847
29-04-2021,Thursday,588
30-04-2021,Friday,1092
01-05-2021,Saturday,1007
02-05-2021,Sunday,766
03-05-2021,Monday,984
04-05-2021,Tuesday,1162
05-05-2021,Wednesday,835
06-05-2021,Thursday,621
07-05-2021,Friday,542
08-05-2021,Saturday,1968
09-05-2021,Sunday,1686
10-05-2021,Monday,548
11-05-2021,Tuesday,915
12-05-2021,Wednesday,543
13-05-2021,Thursday,411
14-05-2021,Friday,717
15-05-2021,Saturday,807
16-05-2021,Sunday,1287
17-05-2021,Monday,1100
18-05-2021,Tuesday,1697
19-05-2021,Wednesday,965
20-05-2021,Thursday,487
21-05-2021,Friday,819
22-05-2021,Saturday,951
23-05-2021,Sunday,833
24-05-2021,Monday,1087
25-05-2021,Tuesday,675
26-05-2021,Wednesday,723
27-05-2021,Thursday,732
28-05-2021,Friday,1453
29-05-2021,Saturday,1541
30-05-2021,Sunday,1831
31-05-2021,Monday,824
01-06-2021,Tuesday,829
02-06-2021,Wednesday,1456
03-06-2021,Thursday,1061
04-06-2021,Friday,930
05-06-2021,Saturday,1297
06-06-2021,Sunday,780
07-06-2021,Monday,554
08-06-2021,Tuesday,400
09-06-2021,Wednesday,1474
10-06-2021,Thursday,618
11-06-2021,Friday,918
12-06-2021,Saturday,880
13-06-2021,Sunday,1684
14-06-2021,Monday,1073
15-06-2021,Tuesday,1086
16-06-2021,Wednesday,957
17-06-2021,Thursday,1237
18-06-2021,Friday,534
19-06-2021,Saturday,970
20-06-2021,Sunday,511
21-06-2021,Monday,1869
22-06-2021,Tuesday,603
23-06-2021,Wednesday,828
24-06-2021,Thursday,1184
25-06-2021,Friday,636
26-06-2021,Saturday,1040
27-06-2021,Sunday,1231
28-06-2021,Monday,1114
29-06-2021,Tuesday,620
30-06-2021,Wednesday,1058
01-07-2021,Thursday,1235
02-07-2021,Friday,1435
03-07-2021,Saturday,1235
04-07-2021,Sunday,1736
05-07-2021,Monday,1344
06-07-2021,Tuesday,1084
07-07-2021,Wednesday,576
08-07-2021,Thursday,1169
09-07-2021,Friday,740
10-07-2021,Saturday,851
11-07-2021,Sunday,1985
12-07-2021,Monday,1434
13-07-2021,Tuesday,753
14-07-2021,Wednesday,1475
15-07-2021,Thursday,935
16-07-2021,Friday,644
17-07-2021,Saturday,1238
18-07-2021,Sunday,1280
19-07-2021,Monday,968
20-07-2021,Tuesday,1261
21-07-2021,Wednesday,1571
22-07-2021,Thursday,630
23-07-2021,Friday,648
24-07-2021,Saturday,1079
25-07-2021,Sunday,1374
26-07-2021,Monday,183
27-07-2021,Tuesday,1180
28-07-2021,Wednesday,491
29-07-2021,Thursday,1466
30-07-2021,Friday,522
31-07-2021,Saturday,619
01-08-2021,Sunday,744
02-08-2021,Monday,846
03-08-2021,Tuesday,1155
04-08-2021,Wednesday,1540
05-08-2021,Thursday,915
06-08-2021,Friday,943
07-08-2021,Saturday,763
08-08-2021,Sunday,1717
09-08-2021,Monday,1117
10-08-2021,Tuesday,877
11-08-2021,Wednesday,1127
12-08-2021,Thursday,1317
13-08-2021,Friday,1050
14-08-2021,Saturday,2044
15-08-2021,Sunday,950
16-08-2021,Monday,977
17-08-2021,Tuesday,1287
18-08-2021,Wednesday,529
19-08-2021,Thursday,770
20-08-2021,Friday,1172
21-08-2021,Saturday,1797
22-08-2021,Sunday,1123
23-08-2021,Monday,1267
24-08-2021,Tuesday,1139
25-08-2021,Wednesday,1045
26-08-2021,Thursday,267
27-08-2021,Friday,551
28-08-2021,Saturday,1564
29-08-2021,Sunday,953
30-08-2021,Monday,1183
31-08-2021,Tuesday,844
01-09-2021,Wednesday,1071
02-09-2021,Thursday,1780
03-09-2021,Friday,1119
04-09-2021,Saturday,1653
05-09-2021,Sunday,1094
06-09-2021,Monday,991
07-09-2021,Tuesday,1150
08-09-2021,Wednesday,909
09-09-2021,Thursday,842
10-09-2021,Friday,1222
11-09-2021,Saturday,1704
12-09-2021,Sunday,1153
13-09-2021,Monday,1399
14-09-2021,Tuesday,1087
15-09-2021,Wednesday,568
16-09-2021,Thursday,1229
17-09-2021,Friday,1062
18-09-2021,Saturday,912
19-09-2021,Sunday,1201
20-09-2021,Monday,1099
21-09-2021,Tuesday,1291
22-09-2021,Wednesday,769
23-09-2021,Thursday,1129
24-09-2021,Friday,1009
25-09-2021,Saturday,1922
26-09-2021,Sunday,1061
27-09-2021,Monday,762
28-09-2021,Tuesday,1109
29-09-2021,Wednesday,1209
30-09-2021,Thursday,580
01-10-2021,Friday,1122
02-10-2021,Saturday,936
03-10-2021,Sunday,1732
04-10-2021,Monday,979
05-10-2021,Tuesday,668
06-10-2021,Wednesday,1189
07-10-2021,Thursday,1231
08-10-2021,Friday,968
09-10-2021,Saturday,1464
10-10-2021,Sunday,480
11-10-2021,Monday,466
12-10-2021,Tuesday,1315
13-10-2021,Wednesday,1367
14-10-2021,Thursday,1368
15-10-2021,Friday,1119
16-10-2021,Saturday,1400
17-10-2021,Sunday,1105
18-10-2021,Monday,1450
19-10-2021,Tuesday,1528
20-10-2021,Wednesday,1233
21-10-2021,Thursday,964
22-10-2021,Friday,1267
23-10-2021,Saturday,1476
24-10-2021,Sunday,1386
25-10-2021,Monday,995
26-10-2021,Tuesday,1239
27-10-2021,Wednesday,742
28-10-2021,Thursday,1084
29-10-2021,Friday,1187
30-10-2021,Saturday,921
31-10-2021,Sunday,2005
01-11-2021,Monday,1194
02-11-2021,Tuesday,1061
03-11-2021,Wednesday,631
04-11-2021,Thursday,1108
05-11-2021,Friday,595
06-11-2021,Saturday,1987
07-11-2021,Sunday,1325
08-11-2021,Monday,1263
09-11-2021,Tuesday,384
10-11-2021,Wednesday,1160
11-11-2021,Thursday,1552
12-11-2021,Friday,838
13-11-2021,Saturday,766
14-11-2021,Sunday,1185
15-11-2021,Monday,1088
16-11-2021,Tuesday,853
17-11-2021,Wednesday,964
18-11-2021,Thursday,69
19-11-2021,Friday,763
20-11-2021,Saturday,1166
21-11-2021,Sunday,1018
22-11-2021,Monday,1384
23-11-2021,Tuesday,1246
24-11-2021,Wednesday,1115
25-11-2021,Thursday,1003
26-11-2021,Friday,1161
27-11-2021,Saturday,1039
28-11-2021,Sunday,1524
29-11-2021,Monday,1189
30-11-2021,Tuesday,834
01-12-2021,Wednesday,915
02-12-2021,Thursday,589
03-12-2021,Friday,728
04-12-2021,Saturday,1460
05-12-2021,Sunday,1034
06-12-2021,Monday,884
07-12-2021,Tuesday,988
08-12-2021,Wednesday,901
09-12-2021,Thursday,550
10-12-2021,Friday,1013
11-12-2021,Saturday,1282
12-12-2021,Sunday,1647
13-12-2021,Monday,1254
14-12-2021,Tuesday,516
15-12-2021,Wednesday,995
16-12-2021,Thursday,1058
17-12-2021,Friday,853
18-12-2021,Saturday,1315
19-12-2021,Sunday,848
20-12-2021,Monday,1141
21-12-2021,Tuesday,967
22-12-2021,Wednesday,902
23-12-2021,Thursday,1122
24-12-2021,Friday,584
25-12-2021,Saturday,598
26-12-2021,Sunday,1069
27-12-2021,Monday,1281
28-12-2021,Tuesday,460
29-12-2021,Wednesday,1226
30-12-2021,Thursday,568
31-12-2021,Friday,797
